Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Circ.,Solidity
20240419_Operator 5_gentle_G1_R1_6.TIF,17,0.755,0.044,0.717,255,2.747,0.116,0.308
20240419_Operator 5_gentle_G1_R2_1.TIF,33,1.219,0.037,1.156,255,2.307,0.146,0.377
20240419_Operator 5_gentle_G1_R2_2.TIF,20,0.849,0.042,0.806,255,1.974,0.181,0.445
20240419_Operator 5_gentle_G1_R2_3.TIF,9,0.334,0.037,0.317,255,2.138,0.114,0.313
20240419_Operator 5_gentle_G1_R2_4.TIF,15,0.592,0.039,0.562,255,2.146,0.167,0.393
20240419_Operator 5_gentle_G1_R2_5.TIF,17,0.526,0.031,0.499,255,1.797,0.177,0.429
20240419_Operator 5_gentle_G1_R2_6.TIF,32,0.877,0.027,0.832,255,1.653,0.19,0.479
20240419_Operator 5_gentle_G1_R3_1.TIF,30,0.76,0.025,0.721,255,1.579,0.151,0.379
20240419_Operator 5_gentle_G1_R3_2.TIF,35,1.258,0.036,1.194,255,2.116,0.158,0.392
20240419_Operator 5_gentle_G1_R3_3.TIF,51,1.785,0.035,1.693,255,2.003,0.159,0.405
20240419_Operator 5_gentle_G1_R3_4.TIF,49,1.712,0.035,1.624,255,2.046,0.155,0.369
20240419_Operator 5_gentle_G1_R3_5.TIF,39,1.013,0.026,0.962,255,1.52,0.175,0.416
20240419_Operator 5_gentle_G1_R3_6.TIF,29,1.495,0.052,1.418,255,2.783,0.16,0.394
20240419_Operator 5_gentle_G2_R1_1.TIF,54,1.959,0.036,1.859,255,1.937,0.154,0.406
20240419_Operator 5_gentle_G2_R1_2.TIF,22,0.763,0.035,0.724,255,1.797,0.173,0.428
20240419_Operator 5_gentle_G2_R1_3.TIF,17,0.349,0.021,0.331,255,1.231,0.235,0.518
20240419_Operator 5_gentle_G2_R1_4.TIF,12,0.305,0.025,0.289,255,1.419,0.233,0.542
20240419_Operator 5_gentle_G2_R1_5.TIF,29,0.7,0.024,0.664,255,1.527,0.177,0.417
20240419_Operator 5_gentle_G2_R1_6.TIF,34,1.028,0.03,0.975,255,1.606,0.196,0.444
20240419_Operator 5_gentle_G2_R2_1.TIF,52,1.708,0.033,1.621,255,1.839,0.163,0.429
20240419_Operator 5_gentle_G2_R2_2.TIF,41,1.613,0.039,1.53,255,2.291,0.161,0.384
20240419_Operator 5_gentle_G2_R2_3.TIF,33,1.457,0.044,1.382,255,2.302,0.142,0.372
20240419_Operator 5_gentle_G2_R2_4.TIF,21,0.779,0.037,0.739,255,2.159,0.139,0.37
20240419_Operator 5_gentle_G2_R2_5.TIF,26,0.86,0.033,0.816,255,1.898,0.171,0.404
20240419_Operator 5_gentle_G2_R2_6.TIF,32,1.06,0.033,1.006,255,1.887,0.163,0.415
20240419_Operator 5_gentle_G2_R3_1.TIF,39,1.435,0.037,1.361,255,2.204,0.153,0.409
20240419_Operator 5_gentle_G2_R3_2.TIF,27,1.026,0.038,0.973,255,2.132,0.164,0.396
20240419_Operator 5_gentle_G2_R3_3.TIF,27,1.559,0.058,1.479,255,2.898,0.142,0.343
20240419_Operator 5_gentle_G2_R3_4.TIF,27,0.997,0.037,0.946,255,2.2,0.131,0.373
20240419_Operator 5_gentle_G2_R3_5.TIF,25,0.923,0.037,0.876,255,2.277,0.16,0.393
20240419_Operator 5_gentle_G2_R3_6.TIF,24,0.73,0.03,0.692,255,1.934,0.125,0.354
20240422_Operator 2_firm_G2_R1_1.TIF,67,2.387,0.036,2.265,255,2.17,0.139,0.362
20240422_Operator 2_firm_G2_R1_2.TIF,55,1.759,0.032,1.669,255,1.866,0.148,0.387
20240422_Operator 2_firm_G2_R1_3.TIF,29,0.361,0.012,0.343,255,0.661,0.348,0.814
20240422_Operator 2_firm_G2_R1_4.TIF,54,1.724,0.032,1.636,255,1.914,0.139,0.379
20240422_Operator 2_firm_G2_R1_5.TIF,45,2.009,0.045,1.906,255,2.372,0.165,0.395
20240422_Operator 2_firm_G2_R1_6.TIF,50,1.626,0.033,1.543,255,1.903,0.153,0.387
20240422_Operator 2_firm_G2_R2_1.TIF,61,2.146,0.035,2.036,255,1.917,0.17,0.43
20240422_Operator 2_firm_G2_R2_2.TIF,36,0.964,0.027,0.914,255,1.608,0.156,0.411
20240422_Operator 2_firm_G2_R2_3.TIF,33,1.635,0.05,1.551,255,2.675,0.137,0.339
20240422_Operator 2_firm_G2_R2_4.TIF,38,1.311,0.035,1.244,255,2.118,0.129,0.357
20240422_Operator 2_firm_G2_R2_5.TIF,38,1.102,0.029,1.045,255,1.765,0.142,0.379
20240422_Operator 2_firm_G2_R2_6.TIF,63,2.545,0.04,2.415,255,2.331,0.145,0.378
20240422_Operator 2_firm_G2_R3_1.TIF,77,2.234,0.029,2.119,255,1.753,0.169,0.43
20240422_Operator 2_firm_G2_R3_2.TIF,57,1.964,0.034,1.863,255,1.951,0.164,0.406
20240422_Operator 2_firm_G2_R3_3.TIF,73,1.982,0.027,1.88,255,1.692,0.171,0.408
20240422_Operator 2_firm_G2_R3_4.TIF,85,2.89,0.034,2.742,255,1.941,0.157,0.397
20240422_Operator 2_firm_G2_R3_5.TIF,86,3.398,0.04,3.223,255,2.271,0.153,0.392
20240422_Operator 2_firm_G2_R3_6.TIF,94,3.952,0.042,3.75,255,2.445,0.153,0.391
